Name of the Banks,Date,Savings Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Fixed Deposit,Fixed Deposit,Fixed Deposit,Fixed Deposit,Fixed Deposit
AGRANI,2013-06-01,4.0,5.0,5.0,5.0,5.0,5.0,11.0,11.5,12.0,12.5,
BASIC,2013-06-01,7.25,6.0,6.5,6.75,7.0,7.5,12.5,12.5,12.5,12.5,12.5
BDBL,2013-06-01,6.0,5.0,5.25,5.5,6.0,6.5,11.0,11.125,11.5,11.75,12.0
JANATA,2013-06-01,7.0,5.5,5.5,5.5,5.5,5.5,11.0,11.5,12.0,12.5,
RUPALI,2013-06-01,5.0,5.0,5.5,6.0,6.5,7.0,12.0,12.0,12.0,,
SONALI,2013-06-01,6.5,5.0,5.25,5.5,6.0,6.5,11.75,12.0,12.25,12.5,
DFIs,2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2013-06-01,6.0,4.0,4.0,4.0,4.0,5.0,10.75,12.5,12.0,12.5,
RAKUB,2013-06-01,6.0,4.0,4.25,4.5,4.75,5.0,10.75,10.875,11.0,11.25,11.25
PCBs,2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2013-06-01,6.0,4.0,5.0,6.0,7.0,8.0,12.125,12.25,12.5,12.5,
AL-ARAFAH,2013-06-01,4.0,3.5,3.5,3.5,3.5,3.5,12.0,12.25,12.25,9.0,9.0
BANK ASIA,2013-06-01,5.75,4.5,5.5,9.0,9.5,10.0,12.0,12.0,12.0,12.0,11.5
BCBL,2013-06-01,7.25,4.0,4.2,8.0,9.0,10.0,12.0,12.25,12.0,12.0,12.0
BRAC,2013-06-01,4.25,3.0,7.0,7.75,8.0,8.5,9.5,9.625,10.5,7.5,7.5
DHAKA,2013-06-01,5.5,5.0,5.5,6.0,6.5,7.0,12.0,11.375,11.25,10.0,12.5
DUTCH-BANGLA,2013-06-01,5.5,4.0,4.0,4.0,4.0,4.0,11.0,11.0,11.0,11.0,11.0
EBL,2013-06-01,7.5,6.0,7.0,7.5,7.75,10.0,11.25,11.25,11.0,7.75,7.75
EXIM,2013-06-01,5.0,3.0,4.0,5.0,6.0,10.0,12.5,12.5,12.5,12.5,12.5
FIRST SECU,2013-06-01,5.0,7.5,8.0,8.0,8.0,8.0,12.5,12.5,12.5,,
ICB,2013-06-01,5.0,5.0,5.0,8.0,9.0,10.0,12.5,12.5,12.5,12.0,12.0
IFIC,2013-06-01,5.5,2.0,4.0,4.0,4.0,8.0,11.5,11.75,12.25,,
ISLAMI,2013-06-01,5.5,5.0,5.0,5.0,5.0,5.0,10.5,10.5,10.5,11.0,11.35
JAMUNA,2013-06-01,6.5,4.0,4.25,6.0,7.0,9.0,10.875,10.875,10.875,,
MERCANTILE,2013-06-01,6.0,6.0,7.0,8.0,9.0,11.0,12.25,12.25,12.5,9.895,9.6
MUTUAL TRUST,2013-06-01,5.625,5.0,6.0,8.0,8.0,11.0,12.0,12.0,12.0,,
NBL,2013-06-01,6.5,5.0,7.0,8.0,8.5,9.0,12.5,12.5,12.5,12.5,12.5
NCCBL,2013-06-01,6.0,6.0,6.5,7.5,8.0,11.0,11.75,11.75,11.75,11.0,
ONE BANK,2013-06-01,8.525,4.0,6.5,7.0,8.5,11.0,11.75,12.0,12.0,12.0,12.0
PREMIER,2013-06-01,4.5,4.0,4.0,5.0,5.0,6.0,12.0,12.0,12.0,,
PRIME,2013-06-01,5.25,3.0,5.5,7.0,8.0,8.0,11.25,11.25,11.25,11.25,11.25
PUBALI,2013-06-01,4.75,4.5,5.0,8.0,8.5,9.0,10.0,11.5,12.0,,
SHAHJALAL,2013-06-01,4.0,5.0,7.0,8.0,8.5,9.0,11.5,11.5,11.75,,
SIBL,2013-06-01,4.0,4.0,6.0,7.0,8.0,10.0,12.5,12.5,12.5,,
SOUTHEAST,2013-06-01,6.25,6.0,6.25,6.25,6.5,9.0,12.0,12.0,12.0,,
STANDARD,2013-06-01,5.0,5.0,7.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
THE CITY,2013-06-01,6.75,2.5,4.0,4.5,10.5,11.0,11.5,11.5,9.5,11.625,10.870000000000001
TRUST BANK,2013-06-01,6.0,4.0,4.5,5.0,5.5,5.5,11.75,12.0,12.0,12.0,12.0
UCBL,2013-06-01,7.25,4.0,5.0,6.5,7.5,10.0,12.0,12.25,12.5,12.5,12.5
UTTARA,2013-06-01,4.5,4.5,5.0,9.0,9.25,10.5,11.5,11.75,12.0,12.0,
FBs,2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2013-06-01,5.0,6.0,7.0,7.0,7.0,7.0,11.375,11.125,10.75,10.0,
CITI N.A.,2013-06-01,4.0,1.5,5.4,5.2,6.4,7.8,8.65,9.1,9.0,5.5,
COMMERCIAL B.,2013-06-01,5.375,3.0,6.0,7.0,7.0,7.0,9.0,10.0,11.24,11.4,10.96
HABIB,2013-06-01,4.75,3.5,3.75,4.0,4.1,4.25,12.375,12.5,12.5,12.5,12.5
HSBC,2013-06-01,5.0,1.25,4.0,6.0,8.75,8.75,6.875,7.125,7.25,7.0,6.875
NBP,2013-06-01,7.0,7.0,8.0,9.0,9.0,9.0,12.5,12.5,12.5,12.5,12.5
SBI,2013-06-01,5.5,3.0,4.5,4.5,4.5,4.5,10.5,10.5,9.5,9.5,9.5
STAN.CHART,2013-06-01,5.25,3.5,3.5,3.5,7.0,8.5,9.0,9.75,9.25,9.0,9.0
WOORI,2013-06-01,6.0,5.0,5.0,5.0,5.0,5.0,11.0,11.25,10.25,10.5,10.5
AGRANI,2013-07-01,4.0,5.0,5.0,5.0,5.0,5.0,11.0,11.5,12.0,12.5,
BASIC,2013-07-01,7.25,6.0,6.5,6.75,7.0,7.5,12.5,12.5,12.5,12.5,12.5
BDBL,2013-07-01,6.0,5.0,5.25,5.5,6.0,6.5,11.0,11.125,11.5,11.75,12.0
JANATA,2013-07-01,7.0,5.5,5.5,5.5,5.5,5.5,11.0,11.5,12.0,12.5,
RUPALI,2013-07-01,5.0,5.0,5.5,6.0,6.5,7.0,12.0,12.0,12.0,,
SONALI,2013-07-01,6.5,5.0,5.25,5.5,6.0,6.5,11.0,11.75,12.0,12.5,
DFIs,2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2013-07-01,6.0,4.0,4.0,4.0,4.0,5.0,10.75,12.5,12.0,12.5,
RAKUB,2013-07-01,6.0,4.0,4.25,4.5,4.75,5.0,10.75,10.875,11.0,11.25,11.25
PCBs,2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2013-07-01,6.0,4.0,5.0,6.0,7.0,8.0,12.125,12.25,12.5,12.5,
AL-ARAFAH,2013-07-01,4.0,3.5,3.5,3.5,3.5,3.5,12.0,12.25,12.25,9.0,9.0
BANK ASIA,2013-07-01,5.75,4.5,5.5,9.0,9.5,10.0,12.25,12.0,12.0,12.0,11.5
BCBL,2013-07-01,7.25,4.0,4.2,8.0,9.0,10.0,11.375,12.0,12.0,12.0,12.0
BRAC,2013-07-01,4.25,3.0,7.0,7.75,8.0,8.5,9.5,9.625,10.5,7.5,7.5
DHAKA,2013-07-01,5.0,5.0,5.5,6.0,6.5,7.0,11.75,11.375,11.25,10.0,12.5
DUTCH-BANGLA,2013-07-01,5.5,4.0,4.0,4.0,4.0,4.0,11.0,11.0,11.0,11.0,11.0
EBL,2013-07-01,7.5,6.0,7.0,7.5,7.75,10.0,11.25,11.25,11.0,7.75,7.75
EXIM,2013-07-01,5.0,3.0,4.0,5.0,6.0,10.0,12.5,12.5,12.5,12.5,12.5
FIRST SECU,2013-07-01,5.0,7.5,8.0,8.0,8.0,8.0,12.5,12.5,12.5,,
ICB,2013-07-01,5.0,5.0,5.0,8.0,9.0,10.0,12.5,12.5,12.5,12.0,12.0
IFIC,2013-07-01,5.5,2.0,4.0,4.0,4.0,8.0,11.0,11.5,12.0,,
ISLAMI,2013-07-01,5.5,5.0,5.0,5.0,5.0,5.0,10.5,10.5,10.5,11.0,11.35
JAMUNA,2013-07-01,6.5,4.0,4.25,6.0,7.0,9.0,10.875,10.875,10.875,,
MERCANTILE,2013-07-01,6.0,6.0,7.0,8.0,9.0,10.0,12.0,12.0,12.5,,
MUTUAL TRUST,2013-07-01,5.625,5.0,6.0,8.0,8.0,11.0,12.0,12.0,12.0,,
NBL,2013-07-01,6.5,5.0,7.0,8.0,8.5,9.0,12.5,12.5,12.5,12.5,12.5
NCCBL,2013-07-01,6.0,6.0,6.5,7.5,8.0,11.0,11.75,11.75,11.75,11.0,
ONE BANK,2013-07-01,8.525,4.0,6.5,7.0,8.5,11.0,11.75,12.0,12.0,12.0,12.0
PREMIER,2013-07-01,4.5,4.0,4.0,5.0,5.0,6.0,11.0,11.0,11.0,,12.025
PRIME,2013-07-01,5.25,3.0,5.5,7.0,8.0,8.0,11.25,11.25,11.25,11.25,11.25
PUBALI,2013-07-01,4.75,4.5,5.0,8.0,8.5,9.0,10.0,11.5,12.0,,
SHAHJALAL,2013-07-01,4.0,5.0,7.0,8.0,8.5,9.0,11.5,11.5,11.75,,
SIBL,2013-07-01,4.0,4.0,6.0,7.0,8.0,10.0,12.0,12.0,12.0,,
SOUTHEAST,2013-07-01,6.25,6.0,6.25,6.25,6.5,9.0,12.0,12.0,12.0,,
STANDARD,2013-07-01,5.0,4.0,4.5,5.0,6.0,7.0,12.0,12.0,11.5,11.5,11.5
THE CITY,2013-07-01,6.5,2.5,4.0,4.5,10.5,11.0,11.0,11.0,9.0,11.125,10.870000000000001
TRUST BANK,2013-07-01,6.0,4.0,4.5,5.0,5.5,5.5,11.5,11.5,11.5,11.5,11.5
UCBL,2013-07-01,7.25,4.0,5.0,6.5,7.5,8.0,12.0,12.0,12.0,12.0,12.0
UTTARA,2013-07-01,4.5,4.5,5.0,9.0,9.25,10.5,11.5,11.75,12.0,12.0,
FBs,2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2013-07-01,5.0,6.0,7.0,7.0,7.0,7.0,11.375,11.125,10.75,10.0,
CITI N.A.,2013-07-01,4.0,1.5,5.0,5.0,6.4,7.4,8.600000000000001,8.95,9.0,5.5,
COMMERCIAL B.,2013-07-01,5.375,3.0,6.0,7.0,7.0,7.0,9.0,10.0,11.24,11.4,10.96
HABIB,2013-07-01,4.75,3.5,3.75,4.0,4.1,4.25,12.25,12.375,12.5,12.5,12.5
HSBC,2013-07-01,5.0,1.25,4.0,6.0,8.75,8.75,6.875,7.125,7.25,7.0,6.875
NBP,2013-07-01,7.0,7.0,8.0,9.0,9.0,9.0,12.5,12.5,12.5,12.5,12.5
SBI,2013-07-01,5.5,3.0,4.5,4.5,4.5,4.5,10.5,10.5,9.5,9.5,9.5
STAN.CHART,2013-07-01,5.25,3.5,3.5,3.5,7.0,8.5,8.75,9.75,9.25,8.75,8.75
WOORI,2013-07-01,6.0,5.0,5.0,5.0,5.0,5.0,11.125,12.25,10.5,10.5,10.5
AGRANI,2013-08-01,4.0,5.0,5.0,5.0,5.0,5.0,11.0,11.5,12.0,12.5,
BASIC,2013-08-01,7.25,6.0,6.5,6.75,7.0,7.5,12.5,12.5,12.5,12.5,12.5
BDBL,2013-08-01,6.0,5.0,5.25,5.5,6.0,6.5,11.0,11.125,11.5,11.75,12.0
JANATA,2013-08-01,6.875,5.5,5.5,5.5,5.5,5.5,10.5,11.0,11.5,,
RUPALI,2013-08-01,5.0,5.0,5.5,6.0,6.5,7.0,11.5,11.5,12.0,12.0,12.0
SONALI,2013-08-01,6.5,5.0,5.25,5.5,6.0,6.5,11.0,11.75,12.0,12.5,
DFIs,2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2013-08-01,6.0,4.0,4.0,4.0,4.0,5.0,10.75,12.5,12.0,12.5,
RAKUB,2013-08-01,6.0,4.0,4.25,4.5,4.75,5.0,10.75,10.875,11.0,11.25,11.25
PCBs,2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2013-08-01,6.0,4.0,5.0,6.0,7.0,8.0,12.0,12.25,12.5,12.5,
AL-ARAFAH,2013-08-01,5.5,4.0,4.0,4.0,4.0,4.0,11.5,11.75,11.75,9.0,9.0
BANK ASIA,2013-08-01,5.75,4.5,5.5,8.5,9.0,10.0,11.75,11.5,11.5,12.0,11.5
BCBL,2013-08-01,7.25,4.0,4.0,4.0,4.0,4.0,11.625,12.0,12.0,12.0,12.0
BRAC,2013-08-01,4.25,3.0,7.0,7.75,8.0,8.5,9.5,9.625,10.5,7.5,7.5
DHAKA,2013-08-01,5.0,5.0,5.5,6.0,6.5,7.0,11.75,11.375,11.25,10.0,12.5
DUTCH-BANGLA,2013-08-01,5.5,4.0,4.0,4.0,4.0,4.0,11.0,11.0,11.0,11.0,11.0
EBL,2013-08-01,7.5,6.0,7.0,7.5,7.75,10.0,10.75,10.625,11.0,7.75,7.75
EXIM,2013-08-01,5.0,3.0,4.0,5.0,6.0,7.0,12.0,12.0,12.25,12.0,12.0
FIRST SECU,2013-08-01,5.0,7.5,8.0,8.0,8.0,8.0,12.5,12.5,12.5,,
ICB,2013-08-01,5.0,5.0,5.0,8.0,9.0,10.0,12.5,12.5,12.5,12.0,12.0
IFIC,2013-08-01,5.5,2.0,4.0,4.0,4.0,8.0,11.0,11.5,12.0,,
ISLAMI,2013-08-01,5.5,5.0,5.0,5.0,5.0,5.0,10.5,10.5,10.5,11.0,11.35
JAMUNA,2013-08-01,6.5,4.0,4.25,6.0,7.0,9.0,10.875,10.875,10.875,,
MDBL,2013-08-01,6.0,7.0,8.0,9.0,10.0,10.0,12.25,12.25,12.25,12.25,12.25
MERCANTILE,2013-08-01,6.0,6.0,7.0,8.0,9.0,10.0,12.0,12.0,12.5,,
MGBL,2013-08-01,6.0,6.0,7.0,8.0,8.5,11.0,12.5,12.5,12.5,,
MUTUAL TRUST,2013-08-01,5.625,5.0,6.0,8.0,8.0,11.0,12.0,12.0,12.0,,
NBL,2013-08-01,6.5,5.0,7.0,8.5,9.5,10.0,11.75,12.25,12.375,12.5,12.5
NCCBL,2013-08-01,6.0,6.0,6.5,7.5,8.0,11.0,11.75,11.75,11.75,11.0,
ONE BANK,2013-08-01,8.525,4.0,6.5,7.0,8.5,11.0,11.5,12.0,12.0,12.0,12.0
PREMIER,2013-08-01,4.5,4.0,4.0,5.0,5.0,6.0,11.25,11.25,11.0,,12.025
PRIME,2013-08-01,5.25,3.0,5.5,7.0,8.0,8.0,11.25,11.25,11.25,11.25,11.25
PUBALI,2013-08-01,4.75,4.5,5.0,8.0,8.5,9.0,10.0,11.5,12.0,,
SHAHJALAL,2013-08-01,4.0,4.5,5.5,6.5,7.5,8.0,11.0,11.0,11.0,,
SIBL,2013-08-01,4.0,4.0,6.0,7.0,8.0,10.0,12.0,12.0,12.0,,
SOUTHEAST,2013-08-01,6.25,6.0,6.25,6.25,6.5,9.0,12.0,12.0,12.0,,
STANDARD,2013-08-01,5.0,4.0,4.5,5.0,6.0,7.0,12.5,12.5,11.25,,
THE CITY,2013-08-01,6.5,2.5,4.0,4.5,10.5,11.0,11.0,11.0,9.0,11.125,10.870000000000001
TRUST BANK,2013-08-01,6.0,4.0,4.5,5.0,5.5,5.5,11.5,11.5,11.5,11.5,11.5
UCBL,2013-08-01,7.25,4.0,5.0,6.5,7.5,8.0,12.0,12.0,12.0,12.0,12.0
UTTARA,2013-08-01,4.5,4.5,5.0,9.0,9.25,10.5,11.5,11.75,12.0,12.0,
FBs,2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2013-08-01,5.0,6.0,7.0,7.0,7.0,7.0,11.375,11.125,10.75,10.0,
CITI N.A.,2013-08-01,4.0,1.5,5.0,5.0,6.4,7.4,8.600000000000001,8.95,9.0,5.5,
COMMERCIAL B.,2013-08-01,5.375,3.0,6.0,7.0,7.0,7.0,9.0,10.0,11.24,11.4,10.96
HABIB,2013-08-01,4.75,3.5,3.75,4.0,4.1,4.25,12.25,12.375,12.5,12.5,12.5
HSBC,2013-08-01,5.0,2.0,4.0,5.0,7.0,7.05,6.875,7.125,7.25,7.0,6.875
NBP,2013-08-01,6.0,5.0,7.0,7.0,7.0,7.0,12.5,12.5,12.5,12.5,12.5
SBI,2013-08-01,5.5,3.0,4.5,4.5,4.5,4.5,10.5,10.5,9.5,9.5,9.5
STAN.CHART,2013-08-01,5.25,3.5,3.5,3.5,6.0,8.0,8.75,9.75,9.25,8.75,8.75
WOORI,2013-08-01,6.0,5.0,5.0,5.0,5.0,5.0,11.125,12.25,10.5,10.5,10.5
AGRANI,2013-09-01,4.0,5.0,5.0,5.0,5.0,5.0,11.0,11.5,12.0,12.5,
BASIC,2013-09-01,7.25,6.0,6.5,6.75,7.0,7.5,12.5,12.5,12.5,12.5,12.5
BDBL,2013-09-01,6.0,5.0,5.25,5.5,6.0,6.5,10.0,10.625,11.0,11.5,11.75
JANATA,2013-09-01,6.875,5.5,5.5,5.5,5.5,5.5,10.5,11.0,11.5,,
RUPALI,2013-09-01,5.0,5.0,5.5,6.0,6.5,7.0,11.5,11.5,12.0,12.0,12.0
SONALI,2013-09-01,6.5,5.0,5.25,5.5,6.0,6.5,10.5,11.0,11.5,12.0,
DFIs,2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2013-09-01,6.0,4.0,4.0,4.0,4.0,5.0,10.0,12.0,11.75,12.0,
RAKUB,2013-09-01,6.0,4.0,4.25,4.5,4.75,5.0,10.75,10.875,11.0,11.25,11.25
PCBs,2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2013-09-01,6.0,4.0,5.0,6.0,7.0,8.0,11.75,12.25,12.5,12.5,
AL-ARAFAH,2013-09-01,6.0,4.0,4.0,4.0,4.0,4.0,11.5,11.5,11.5,9.0,9.0
BANK ASIA,2013-09-01,5.75,4.5,5.5,8.5,9.0,10.0,11.5,11.0,11.0,12.0,11.5
BCBL,2013-09-01,7.25,4.0,4.0,4.0,4.0,4.0,11.625,12.0,12.0,12.0,12.0
BRAC,2013-09-01,4.25,3.0,7.0,7.75,8.0,8.5,9.375,9.625,10.25,7.5,7.5
DHAKA,2013-09-01,5.0,5.0,5.5,6.0,6.5,7.0,11.375,11.375,11.25,10.0,12.5
DUTCH-BANGLA,2013-09-01,5.5,4.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0
EBL,2013-09-01,7.5,5.0,6.0,6.5,6.75,8.0,10.625,10.625,11.0,7.75,7.75
EXIM,2013-09-01,5.0,3.0,4.0,5.0,6.0,7.0,11.5,12.0,12.0,12.0,12.0
FIRST SECU,2013-09-01,5.0,7.5,8.0,8.0,8.0,8.0,12.5,12.5,12.5,,
ICB,2013-09-01,5.0,5.0,5.0,8.0,9.0,10.0,12.5,12.5,12.5,12.0,12.0
IFIC,2013-09-01,5.5,2.0,4.0,4.0,4.0,8.0,11.0,11.5,12.0,,
ISLAMI,2013-09-01,5.5,5.0,5.0,5.0,5.0,5.0,10.5,10.5,10.5,11.0,11.35
JAMUNA,2013-09-01,6.5,4.0,4.25,6.0,7.0,9.0,10.75,10.75,10.75,,
MDBL,2013-09-01,6.0,7.0,8.0,9.0,10.0,10.0,12.25,12.25,12.25,12.25,12.25
MERCANTILE,2013-09-01,6.0,6.0,7.0,8.0,9.0,10.0,12.0,12.0,12.0,,
MGBL,2013-09-01,6.0,6.0,7.0,8.0,8.5,11.0,12.5,12.5,12.5,,
MUTUAL TRUST,2013-09-01,5.625,5.0,6.0,8.0,8.0,11.0,12.0,12.0,12.0,,
NBL,2013-09-01,6.5,5.0,7.0,8.5,9.5,10.0,11.5,11.875,12.125,12.25,12.25
NCCBL,2013-09-01,6.0,6.0,6.5,7.5,8.0,11.0,11.75,11.75,11.75,11.0,
NRBBL,2013-09-01,6.25,6.25,7.25,7.75,8.0,9.25,12.5,10.25,11.75,10.5,10.0
NRBCBL,2013-09-01,8.5,6.0,8.5,9.0,9.5,10.0,12.5,12.5,12.5,12.0,11.75
ONE BANK,2013-09-01,8.525,4.0,6.5,7.0,8.5,11.0,10.5,11.5,11.5,11.5,11.5
PREMIER,2013-09-01,4.5,4.0,4.0,5.0,5.0,6.0,11.25,11.25,11.0,,12.025
PRIME,2013-09-01,5.25,3.0,5.5,7.0,8.0,8.0,11.25,11.25,11.25,11.25,11.25
PUBALI,2013-09-01,4.75,4.5,5.0,8.0,8.5,9.0,10.0,11.5,12.0,,
SHAHJALAL,2013-09-01,4.0,4.5,5.5,6.5,7.5,8.0,11.0,11.0,11.0,,
SIBL,2013-09-01,4.0,4.0,6.0,7.0,8.0,10.0,12.0,12.0,12.0,,
SOUTHEAST,2013-09-01,6.25,6.0,6.25,6.25,6.5,9.0,12.0,12.0,12.0,,
STANDARD,2013-09-01,5.0,4.0,4.5,5.0,6.0,7.0,12.0,12.0,11.25,,
THE CITY,2013-09-01,6.5,2.5,4.0,4.5,10.5,11.0,11.0,11.0,9.0,11.125,10.870000000000001
TRUST BANK,2013-09-01,6.0,4.0,4.5,5.0,5.5,5.5,11.5,11.5,11.5,11.5,11.5
UCBL,2013-09-01,6.25,4.0,5.0,6.5,7.5,8.0,11.0,11.5,11.5,11.5,11.5
UNBL,2013-09-01,5.0,7.5,8.0,8.0,8.0,8.0,12.5,12.5,12.5,,
UTTARA,2013-09-01,4.5,4.5,5.0,9.0,9.25,10.5,11.0,11.25,11.5,11.5,
FBs,2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2013-09-01,5.0,6.0,7.0,7.0,7.0,7.0,11.375,11.125,10.75,10.0,
CITI N.A.,2013-09-01,4.0,1.5,4.0,4.25,5.8,6.9,8.600000000000001,8.95,9.0,5.5,
COMMERCIAL B.,2013-09-01,5.375,3.0,6.0,7.0,7.0,7.0,9.0,10.0,11.365,11.4,10.96
HABIB,2013-09-01,4.75,3.5,3.75,4.0,4.1,4.25,10.75,11.5,11.75,12.5,12.5
HSBC,2013-09-01,4.0,2.0,4.0,5.0,7.0,7.05,6.875,7.125,7.25,7.0,6.875
NBP,2013-09-01,6.0,5.0,7.0,7.0,7.0,7.0,12.5,12.5,12.5,12.5,12.5
SBI,2013-09-01,5.5,3.0,4.5,4.5,4.5,4.5,10.5,10.5,9.5,9.5,9.5
STAN.CHART,2013-09-01,5.25,3.5,3.5,3.5,6.0,7.5,8.75,9.75,9.25,8.75,8.75
WOORI,2013-09-01,6.0,5.0,5.0,5.0,5.0,5.0,11.125,12.25,10.5,10.5,10.5
AGRANI,2013-10-01,4.0,5.0,5.0,5.0,5.0,5.0,11.0,11.5,12.0,12.5,
BASIC,2013-10-01,7.25,6.0,6.5,6.75,7.0,7.5,12.0,12.0,12.0,12.0,12.0
BDBL,2013-10-01,6.0,5.0,5.25,5.5,6.0,6.5,10.0,10.625,11.0,11.5,11.75
JANATA,2013-10-01,6.875,5.5,5.5,5.5,5.5,5.5,10.5,11.0,11.5,,
RUPALI,2013-10-01,5.0,5.0,5.5,6.0,6.5,7.0,11.5,11.5,12.0,12.0,12.0
SONALI,2013-10-01,6.5,5.0,5.25,5.5,6.0,6.5,10.5,11.0,11.5,12.0,
DFIs,2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2013-10-01,6.0,4.0,4.0,4.0,4.0,5.0,10.0,12.0,11.75,12.0,
RAKUB,2013-10-01,6.0,4.0,4.25,4.5,4.75,5.0,10.5,11.0,11.5,11.75,11.75
PCBs,2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2013-10-01,6.0,4.0,5.0,6.0,7.0,8.0,11.5,12.0,12.25,12.5,
AL-ARAFAH,2013-10-01,5.0,5.5,5.5,5.5,5.5,5.5,11.0,11.0,11.0,9.0,9.0
BANK ASIA,2013-10-01,5.75,4.5,5.5,8.5,9.0,10.0,11.5,11.0,11.0,12.0,11.5
BCBL,2013-10-01,7.25,4.5,5.0,5.5,5.5,5.5,11.375,12.0,12.0,12.0,12.0
BRAC,2013-10-01,4.25,3.0,7.0,7.75,8.0,8.5,9.375,9.625,10.25,7.5,7.5
DHAKA,2013-10-01,5.0,5.0,5.5,6.0,6.5,7.0,11.375,11.375,11.25,10.0,12.5
DUTCH-BANGLA,2013-10-01,5.5,4.0,4.0,4.0,4.0,4.0,9.5,9.5,9.5,9.5,9.5
EBL,2013-10-01,7.5,5.0,6.0,6.5,6.75,8.0,10.625,10.625,11.0,7.75,7.75
EXIM,2013-10-01,5.0,3.0,4.0,5.0,6.0,7.0,11.25,11.5,11.5,11.5,11.5
FIRST SECU,2013-10-01,5.0,5.0,6.0,6.0,6.0,6.0,12.5,12.5,12.5,,
ICB,2013-10-01,5.0,5.0,5.0,8.0,9.0,10.0,12.5,12.5,12.5,12.0,12.0
IFIC,2013-10-01,5.5,2.0,4.0,6.0,4.0,8.0,11.0,11.5,12.0,,
ISLAMI,2013-10-01,6.4,5.0,5.0,5.0,5.0,5.0,10.3,10.4,10.5,11.0,11.35
JAMUNA,2013-10-01,6.5,4.0,4.25,6.0,7.0,9.0,10.75,10.75,10.75,,
MDBL,2013-10-01,6.0,7.0,8.0,9.0,10.0,10.0,12.25,12.25,12.25,12.25,12.25
MERCANTILE,2013-10-01,6.0,6.0,6.0,7.0,8.0,10.0,11.375,11.375,11.625,,
MGBL,2013-10-01,6.0,6.0,7.0,8.0,8.5,11.0,12.5,12.5,12.5,,
MUTUAL TRUST,2013-10-01,5.625,5.0,6.0,8.0,8.0,11.0,12.0,12.0,12.0,,
NBL,2013-10-01,6.5,5.0,7.0,8.5,9.5,10.0,11.5,11.875,12.125,12.375,12.375
NCCBL,2013-10-01,6.0,6.0,6.5,7.5,8.0,11.0,11.5,11.5,11.5,11.0,
NRBBL,2013-10-01,6.25,6.25,7.25,7.75,8.0,9.25,12.5,10.25,11.75,10.5,10.0
NRBCBL,2013-10-01,8.5,6.0,8.5,9.0,9.5,10.0,12.5,12.5,12.5,12.0,11.75
ONE BANK,2013-10-01,8.525,4.0,6.5,7.0,8.5,11.0,10.5,11.5,11.5,11.5,11.5
Padma,2013-10-01,6.25,6.5,7.25,8.25,9.25,10.25,12.125,12.375,12.5,,
PREMIER,2013-10-01,4.5,4.0,4.0,5.0,5.0,6.0,10.75,10.75,10.75,,12.025
PRIME,2013-10-01,5.25,3.0,5.5,7.0,8.0,8.0,11.25,11.25,11.25,11.25,11.25
PUBALI,2013-10-01,4.75,4.5,5.0,8.0,8.5,9.0,10.0,11.0,11.5,,
SBACBL,2013-10-01,7.0,5.5,5.5,5.5,5.5,5.5,12.5,12.5,12.5,12.5,12.5
SHAHJALAL,2013-10-01,4.0,4.5,5.5,6.5,7.5,8.0,11.0,11.0,11.0,,
SIBL,2013-10-01,4.0,4.0,6.0,7.0,8.0,10.0,12.0,12.0,12.0,,
SOUTHEAST,2013-10-01,6.25,6.0,6.25,6.25,6.5,9.0,12.0,12.0,12.0,,
STANDARD,2013-10-01,5.0,4.0,4.5,5.0,6.0,7.0,12.0,12.0,11.25,,
